Notebook,ForLoops,RangeIters,MaxDepth
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1000546.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1000623.ipynb,4,4,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1001280.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1001333.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1001500.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1001543.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1001650.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1002479.ipynb,9,4,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1002676.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1005141.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1005909.ipynb,6,3,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1006604.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1006623.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1006783.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1007250.ipynb,43,27,4
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1007363.ipynb,4,4,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_100751.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1007699.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_100841.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1008828.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1008907.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1009478.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1009479.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1009537.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1010017.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_101059.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_101060.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1010702.ipynb,8,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1010865.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1011216.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1012240.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1012486.ipynb,5,0,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1012605.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1012701.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1012797.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1013053.ipynb,6,3,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1013068.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1013283.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1013394.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_101340.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_10135.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_101425.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_101428.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1014564.ipynb,7,3,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_101487.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_10149.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1015936.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1016234.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1016538.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1016597.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1016839.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1017688.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_101801.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018189.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018256.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018468.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018469.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018662.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018713.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018760.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018761.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018762.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018763.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018764.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018875.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018876.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1018877.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1019068.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1019253.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1019714.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1020713.ipynb,9,0,4
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1020714.ipynb,9,0,4
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1021477.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1021518.ipynb,3,2,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1021605.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1022321.ipynb,4,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1022564.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1022569.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1023150.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1023448.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1023569.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102377.ipynb,17,15,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1024618.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1024735.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1024736.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102532.ipynb,11,7,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1025541.ipynb,3,1,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1025582.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1025899.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1025974.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1025975.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102621.ipynb,11,7,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1026857.ipynb,5,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1026964.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102708.ipynb,4,4,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1027256.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1027385.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1027960.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1028230.ipynb,10,0,6
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1028231.ipynb,10,0,6
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1028645.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102885.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102886.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_102948.ipynb,4,4,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1030642.ipynb,3,0,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1030913.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1030914.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_103154.ipynb,2,1,1
